ティッカー,銘柄（英語）,事業内容,市場
ATR,Aptar Group Incアプターグループ,ポンプ、注出口付き蓋ぶた、エアゾールバルブの設計、製造、販売に従事している企業。,NYSE
ATRA,Atara Biotherapeuticsアタラ バイオセラピューティクス,ヘルスケアサービス会社,NASDAQ
ATRO,Astronics Corpアストロニクス,航空機器メーカー。,NASDAQ
ATSG,Air Transport Services Group Incエア トランスポート サービシズ グループ,航空貨物輸送サービスに従事する航空会社。,NASDAQ
ATUS,Altice USA Inc AアルティスUSA A,ケーブル事業会社。通信、メディア、エンターテイメントのサービスを提供する。,NYSE
ATVI,Activision Blizzardアクティビジョン ブリザード,大手ゲーム会社,NASDAQ
AUB,Atlantic Union Bankshares Corpアトランティック ユニオン バンクシェアーズ,米国で事業を展開している銀行。,NASDAQ
AUMN,Golden Mineralsゴールデン ミネラルズ,メキシコの鉱区に注力する貴金属採鉱会社,NYSE American
AUTO,AutoWebオートウェブ,自動車のマーケティング・サービス会社,NASDAQ
AUY,Yamana Goldヤマナ ゴールド,南米を基盤とするカナダの金加工会社,NYSE
AVA,Avista Corporationアビスタ,発電・送電・配電のほか、天然ガスの生産・流通を手掛けるエネルギー会社。,NYSE
AVAV,Aerovironmentエアロバイロメント,高高度飛行体 (ソーラープレーン) システムメーカー,NASDAQ
AVGO,Broadcomブロードコム,半導体メーカー,NASDAQ
